OVR,First Name,Last Name,Program,Position,Archetype,External ID
97,Chris,McAlister,Ultimate Legends,WR,Physical,114102960
97,Randall,McDaniel,Ultimate Legends,TE,Possession,114100475
97,Reggie,Nelson,Theme Team Surge,SS,Zone,95000009
97,LaDainian,Tomlinson,Theme Team Surge,QB,Scrambler,95300003
97,Darnell,Washington,Theme Team Surge,SAM,Run Stopper,95300004
97,Stefon,Diggs,Flashbacks,WR,Slot,115102454
97,Hunter,Henry,Flashbacks,TE,Possession,115117643
97,Roquan,Smith,Flashbacks,MIKE,Field General,115113082
97,Quinnen,Williams,Flashbacks,DT,Nose Tackle,115120547
97,Trent,Brown,Collector's Series,RT,Power,112902661
97,Justin,Reid,Collector's Series,SS,Run Support,112913167
97,Tommie,Harris,Ultimate Legends,FB,Utility,114117416
97,John,Riggins,Ultimate Legends,QB,Scrambler,114105351
97,Melvin,Gordon III,Theme Team Surge,HB,Elusive Back,95000007
97,Colston,Loveland,Theme Team Surge,FS,Hybrid,95200004
97,Dan,Skipper,Theme Team Surge,WR,Physical,95200003
97,Miles,Sanders,Flashbacks,HB,Elusive Back,115120492
97,L&#x27;Jarius,Sneed,Flashbacks,CB,Zone,115121351
97,Vita,Vea,Flashbacks,DT,Nose Tackle,115113091
97,Alijah,Vera-Tucker,Flashbacks,RG,Agile,115121552
97,Peyton,Hillis,Collector's Series,HB,Power Back,112910266
97,Alex,Singleton,Collector's Series,MIKE,Field General,112920881
97,John,Mackey,Ultimate Legends,HB,Receiving Back,114127730
97,LaMarr,Woodley,Ultimate Legends,WR,Physical,114127995
97,John,Abraham,Theme Team Surge,REDG,Power Rusher,95000005
97,Drake,London,Theme Team Surge,CB,Zone,95100004
97,Tariq,Woolen,Theme Team Surge,WR,Deep Threat,95100003
97,Jeremy,Chinn,Flashbacks,FS,Run Support,115121151
97,Jimmy,Garoppolo,Flashbacks,QB,Field General,115110866
97,Daiyan,Henley,Flashbacks,WILL,Pass Coverage,115123000
97,Joe,Thuney,Flashbacks,LG,Pass Protector,115117777
97,Cris,Collinsworth,Reel Deals,WR,Deep Threat,86132800
